"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2025";"1200";"21,1";"92,0";"927,0";"2,1";"60,0";"10,0";"";"";"19,1";""
"01/02/2025";"1500";"";"";"";"";"";"";"";"";"";""
"01/02/2025";"1800";"26,3";"69,0";"924,3";"1,5";"290,0";"8,8";"";"";"";""
"01/02/2025";"2100";"";"";"";"";"";"";"";"";"";""
"02/02/2025";"0000";"21,3";"97,0";"925,7";"1,5";"110,0";"8,8";"";"26,8";"";""
"02/02/2025";"0300";"";"";"";"";"";"";"";"";"";""
"02/02/2025";"0600";"21,5";"95,0";"924,7";"2,1";"50,0";"10,0";"";"";"";""
"02/02/2025";"0900";"";"";"";"";"";"";"";"";"";""
"02/02/2025";"1200";"24,7";"76,0";"926,8";"3,1";"10,0";"8,8";"";"";"21,3";"5,0"
"02/02/2025";"1500";"";"";"";"";"";"";"";"";"";""
"02/02/2025";"1800";"26,7";"69,0";"925,3";"3,6";"310,0";"5,0";"";"";"";""
"02/02/2025";"2100";"";"";"";"";"";"";"";"";"";""
"03/02/2025";"0000";"21,6";"95,0";"927,3";"2,6";"90,0";"8,8";"";"28,0";"";""
"03/02/2025";"0300";"";"";"";"";"";"";"";"";"";""
"03/02/2025";"0600";"20,8";"97,0";"926,7";"2,6";"70,0";"10,0";"";"";"";""
"03/02/2025";"0900";"";"";"";"";"";"";"";"";"";""
"03/02/2025";"1200";"22,4";"82,0";"929,2";"2,6";"340,0";"10,0";"";"";"20,7";"11,0"
"03/02/2025";"1500";"";"";"";"";"";"";"";"";"";""
"03/02/2025";"1800";"27,0";"61,0";"927,5";"5,1";"320,0";"10,0";"";"";"";""
"03/02/2025";"2100";"";"";"";"";"";"";"";"";"";""
"04/02/2025";"0000";"22,7";"78,0";"929,5";"3,6";"40,0";"10,0";"";"28,8";"";""
"04/02/2025";"0300";"";"";"";"";"";"";"";"";"";""
"04/02/2025";"0600";"21,3";"89,0";"928,9";"2,6";"20,0";"7,5";"";"";"";""
"04/02/2025";"0900";"";"";"";"";"";"";"";"";"";""
"04/02/2025";"1200";"25,4";"68,0";"929,7";"3,6";"60,0";"8,8";"";"";"20,9";"1,0"
"04/02/2025";"1500";"";"";"";"";"";"";"";"";"";""
"04/02/2025";"1800";"26,8";"67,0";"928,6";"6,7";"270,0";"8,8";"";"";"";""
"04/02/2025";"2100";"";"";"";"";"";"";"";"";"";""
"05/02/2025";"0000";"21,1";"94,0";"930,0";"4,1";"80,0";"6,3";"";"29,1";"";""
"05/02/2025";"0300";"";"";"";"";"";"";"";"";"";""
"05/02/2025";"0600";"19,7";"96,0";"929,2";"0,0";"0,0";"7,5";"";"";"";""
"05/02/2025";"0900";"";"";"";"";"";"";"";"";"";""
"05/02/2025";"1200";"24,3";"76,0";"930,9";"1,0";"20,0";"2,5";"";"";"19,3";"14,0"
"05/02/2025";"1500";"";"";"";"";"";"";"";"";"";""
"05/02/2025";"1800";"25,2";"69,0";"928,8";"2,1";"30,0";"10,0";"";"";"";""
"05/02/2025";"2100";"";"";"";"";"";"";"";"";"";""
"06/02/2025";"0000";"22,3";"85,0";"930,3";"0,0";"0,0";"7,5";"";"33,2";"";""
"06/02/2025";"0300";"";"";"";"";"";"";"";"";"";""
"06/02/2025";"0600";"19,4";"96,0";"930,0";"0,0";"0,0";"5,0";"";"";"";""
"06/02/2025";"0900";"";"";"";"";"";"";"";"";"";""
"06/02/2025";"1200";"26,0";"70,0";"931,6";"2,1";"100,0";"3,8";"";"";"19,2";"1,0"
"06/02/2025";"1500";"";"";"";"";"";"";"";"";"";""
"06/02/2025";"1800";"31,5";"41,0";"928,8";"4,1";"330,0";"5,0";"";"";"";""
"06/02/2025";"2100";"";"";"";"";"";"";"";"";"";""
"07/02/2025";"0000";"23,0";"80,0";"931,0";"2,6";"240,0";"6,3";"";"31,0";"";""
"07/02/2025";"0300";"";"";"";"";"";"";"";"";"";""
